PTT,Individual,Number,StartDate,EndDate,Duration,Lat,Long
96721,96721M,1,7/6/2011 5:53,7/8/2011 5:20,1.976813889,-21.01609452,-70.17595248
96721,96721M,2,7/8/2011 11:00,7/10/2011 1:59,1.6241,-21.101641,-70.173279
96721,96721M,3,7/12/2011 16:17,7/13/2011 9:46,0.727944444,-21.13756,-70.159981
96721,96721M,4,7/22/2011 17:33,7/23/2011 19:00,1.0603,-21.067209,-70.166687
96721,96721M,5,7/25/2011 3:25,7/25/2011 6:47,0.1402,-21.022551,-70.177208
96721,96721M,6,7/31/2011 12:56,8/1/2011 11:37,0.9453,-20.13028,-70.143806
96721,96721M,7,8/6/2011 14:58,8/6/2011 23:03,0.3371,-20.792311,-70.22081
96721,96721M,8,8/15/2011 6:34,8/16/2011 4:27,0.9124,-21.02692,-70.186737
96721,96721M,9,8/22/2011 6:04,8/23/2011 1:04,0.7918,-21.89501,-70.186523
96721,96721M,10,8/25/2011 15:31,8/27/2011 1:27,1.4137,-21.9018,-70.190147
96721,96721M,11,8/27/2011 11:45,8/28/2011 3:07,0.6407,-21.91226,-70.227074
96721,96721M,12,9/1/2011 2:06,9/2/2011 4:57,1.119,-21.89592,-70.187141
96721,96721M,13,9/2/2011 16:29,9/3/2011 1:04,0.3575,-21.901739,-70.19017
96721,96721M,14,9/5/2011 11:09,9/7/2011 5:34,1.767,-21.806259,-70.175758
96721,96721M,15,9/8/2011 21:23,9/9/2011 21:27,1.0027,-21.023451,-70.17791
96722,96722F,1,7/8/2011 3:55,7/8/2011 9:36,0.2366,-19.73288,-70.150612
96722,96722F,2,7/9/2011 17:22,7/11/2011 7:32,1.590041667,-19.72973012,-70.15298617
96722,96722F,3,7/14/2011 1:41,7/14/2011 11:03,0.3902,-21.033739,-70.174026
96722,96722F,4,7/17/2011 21:38,7/18/2011 2:36,0.207,-21.30508,-70.11702
96722,96722F,5,7/22/2011 23:52,7/25/2011 13:33,2.5697,-21.900009,-70.189232
96722,96722F,6,7/27/2011 21:09,7/28/2011 18:34,0.8921,-21.90332,-70.232178
96722,96722F,7,8/1/2011 18:45,8/3/2011 15:00,1.8437,-21.107889,-70.202049
96722,96722F,8,8/3/2011 18:23,8/5/2011 16:40,1.9284,-21.068211,-70.154358
96722,96722F,9,8/5/2011 19:27,8/7/2011 8:50,1.5576,-21.087179,-70.156212
96722,96722F,10,8/12/2011 5:29,8/12/2011 13:26,0.3313,-21.504641,-70.127274
96723,96723F,1,7/1/2011 7:09,7/1/2011 14:32,0.307638889,-20.81049919,-70.21035767
96723,96723F,2,7/3/2011 4:26,7/5/2011 12:17,2.327,-20.778709,-70.282913
96723,96723F,3,7/7/2011 0:48,7/8/2011 0:21,0.981495833,-20.81069,-70.210571
96723,96723F,4,7/13/2011 4:46,7/14/2011 11:50,1.2943,-20.742121,-70.29171
96723,96723F,5,7/18/2011 0:02,7/19/2011 8:01,1.333,-20.91991,-70.291138
96723,96723F,6,7/20/2011 7:28,7/22/2011 2:52,1.8081,-20.910919,-70.224777
96723,96723F,7,7/25/2011 1:43,7/26/2011 19:13,1.7288,-20.731279,-70.297813
96723,96723F,8,7/27/2011 2:07,7/28/2011 2:49,1.0293,-20.78739,-70.290482
96723,96723F,9,7/29/2011 7:35,7/30/2011 18:31,1.4555,-20.773769,-70.299744
96723,96723F,10,8/4/2011 10:09,8/5/2011 5:11,0.7930625,-20.82628357,-70.21991437
96723,96723F,11,8/7/2011 4:39,8/9/2011 2:15,1.8999,-20.888861,-70.288841
96723,96723F,12,8/11/2011 13:53,8/12/2011 1:12,0.471006944,-20.81069946,-70.21045685
96723,96723F,13,8/18/2011 8:43,8/19/2011 4:14,0.8129,-20.81024,-70.209999
96723,96723F,14,8/27/2011 1:25,8/28/2011 0:49,0.9752,-20.82369,-70.337967
96723,96723F,15,8/31/2011 5:53,9/1/2011 2:02,0.839740278,-20.81030083,-70.21022034
96723,96723F,16,9/8/2011 23:02,9/9/2011 0:24,0.0572,-20.810961,-70.210342
96723,96723F,17,9/13/2011 21:36,9/14/2011 0:46,0.132,-20.81068,-70.210381
96723,96723F,18,9/20/2011 2:54,9/21/2011 0:13,0.8882,-20.822359,-70.228622
96723,96723F,19,9/24/2011 17:39,9/26/2011 11:43,1.7524625,-20.81055069,-70.21064758
96723,96723F,20,9/27/2011 3:29,9/27/2011 23:42,0.8425,-20.81249,-70.238777
96723,96723F,21,9/30/2011 3:48,10/1/2011 0:20,0.8556,-20.87678,-70.326927
96723,96723F,22,10/1/2011 5:11,10/2/2011 4:28,0.97,-20.82188,-70.257202
96723,96723F,23,10/4/2011 3:35,10/5/2011 4:05,1.021,-20.84127,-70.197662
96724,96724F,1,7/5/2011 12:37,7/6/2011 8:48,0.840966667,-20.84339,-70.256523
96724,96724F,2,7/8/2011 20:36,7/9/2011 7:40,0.460544444,-20.94767,-70.192963
96724,96724F,3,7/10/2011 0:36,7/10/2011 8:36,0.3332,-21.0905,-70.156189
96724,96724F,4,7/10/2011 21:56,7/11/2011 22:39,1.0299,-21.089809,-70.178864
96724,96724F,5,7/11/2011 22:39,7/13/2011 8:37,1.4152,-20.82626,-70.297943
96724,96724F,6,7/15/2011 11:16,7/16/2011 7:40,0.849444444,-21.02619,-70.22197
96724,96724F,7,7/23/2011 23:17,7/24/2011 9:00,0.404540278,-20.810591,-70.210381
96724,96724F,8,7/28/2011 14:36,7/30/2011 14:36,1.9999,-21.03982,-70.169662
96724,96724F,9,8/3/2011 23:35,8/4/2011 8:38,0.3765625,-20.81059074,-70.21076965
96724,96724F,10,8/4/2011 13:16,8/5/2011 3:16,0.5836,-20.98262,-70.257599
96726,96726M,1,7/8/2011 1:13,7/8/2011 16:12,0.623884722,,
96726,96726M,2,7/17/2011 11:17,7/18/2011 2:27,0.6317,,
96727,96727F,1,7/5/2011 0:25,7/5/2011 1:29,0.044938889,-21.04693985,-70.16854095
96727,96727F,2,7/5/2011 18:22,7/5/2011 19:43,0.0559,-21.021151,-70.176224
96727,96727F,3,7/10/2011 15:41,7/13/2011 15:22,2.9869,-22.809401,-70.411034
96727,96727F,4,7/16/2011 22:10,7/19/2011 11:12,2.5431,-22.91613,-70.415283
96727,96727F,5,7/23/2011 7:30,7/24/2011 9:16,1.073090278,-21.02235031,-70.17717743
96727,96727F,6,8/1/2011 12:18,8/4/2011 10:55,2.942294907,-22.430389,-70.357559
96727,96727F,7,8/15/2011 0:48,8/17/2011 23:59,2.9664,-22.97016,-70.525108
96727,96727F,8,8/20/2011 3:55,8/22/2011 18:00,2.5871,-21.24468,-70.179848
96727,96727F,9,8/23/2011 23:17,8/25/2011 9:10,1.411544444,-21.052389,-70.226372
96727,96727F,10,8/27/2011 16:32,8/28/2011 16:02,0.978655556,-21.11409,-70.257118
96727,96727F,11,8/30/2011 20:00,9/1/2011 13:43,1.7385,-20.89834,-70.313271
96727,96727F,12,9/2/2011 5:10,9/3/2011 17:07,1.4981,-20.811119,-70.211388
96727,96727F,13,9/9/2011 4:02,9/11/2011 23:07,2.7948,-20.80315,-70.210152
96727,96727F,14,9/16/2011 20:18,9/17/2011 23:38,1.1387,-21.14308,-70.215874
96728,96728F,1,7/2/2011 2:32,7/3/2011 10:00,1.310590278,-20.51296043,-70.18321228
96728,96728F,2,7/5/2011 6:30,7/8/2011 3:40,2.8822,-20.50526,-70.38533
96728,96728F,3,7/16/2011 11:18,7/19/2011 7:04,2.823144444,-20.953449,-70.393608
96728,96728F,4,7/24/2011 11:44,7/26/2011 21:46,2.417890278,-21.90377834,-70.1880605
96728,96728F,5,7/29/2011 18:21,7/31/2011 13:27,1.7959,-20.51306,-70.183113
96728,96728F,6,8/3/2011 7:15,8/4/2011 5:03,0.908095833,-21.02260017,-70.17696381
96728,96728F,7,8/5/2011 15:02,8/8/2011 13:29,2.934890278,-21.8450774,-70.19588566
96728,96728F,8,8/11/2011 22:51,8/14/2011 7:47,2.3725,-20.52483,-70.196388
96728,96728F,9,8/15/2011 18:15,8/17/2011 9:05,1.6181,-21.23909,-69.874268
96728,96728F,10,8/28/2011 17:51,8/30/2011 6:44,1.536755555,-21.87882,-70.190361
96728,96728F,11,9/6/2011 1:22,9/7/2011 13:24,1.502,-21.02199,-70.176537
96728,96728F,12,9/10/2011 6:22,9/11/2011 20:39,1.595101389,-21.90370941,-70.1879425
96728,96728F,13,9/13/2011 21:15,9/15/2011 10:18,1.543166667,-21.87833,-70.171227
96728,96728F,14,9/17/2011 1:09,9/18/2011 2:30,1.056166667,-21.76417,-70.198143
96728,96728F,15,9/23/2011 5:08,9/24/2011 15:04,1.413377778,-21.07016,-70.178864
96728,96728F,16,9/30/2011 3:11,10/2/2011 1:36,1.933913889,-21.03924551,-70.18557842
96729,96729F,1,7/11/2011 23:26,7/12/2011 14:31,0.6289,-21.76659,-70.18602
96729,96729F,2,7/13/2011 12:38,7/15/2011 15:56,2.1378,-21.686069,-70.207367
96729,96729F,3,7/17/2011 6:34,7/18/2011 14:16,1.320968056,-21.90186024,-70.19021606
96729,96729F,4,7/20/2011 16:20,7/22/2011 9:19,1.707323611,-21.9019165,-70.19021861
96729,96729F,5,7/24/2011 9:59,7/26/2011 5:35,1.8171,-21.85124,-70.211014
96729,96729F,6,7/28/2011 15:25,7/29/2011 4:41,0.5526,-21.846609,-70.193962
96729,96729F,7,8/1/2011 19:38,8/3/2011 13:05,1.7273,-21.787439,-70.207527
96729,96729F,8,8/5/2011 22:44,8/7/2011 17:46,1.792756944,-21.90188026,-70.19026947
96729,96729F,9,8/10/2011 17:50,8/12/2011 0:01,1.2574,-21.8584,-70.2239
96729,96729F,10,8/14/2011 18:33,8/16/2011 9:38,1.628388889,-21.750971,-70.239159
96729,96729F,11,8/18/2011 0:08,8/19/2011 22:56,1.95,-21.901991,-70.190193
96730,96730F,1,7/5/2011 23:36,7/7/2011 12:20,1.5311,-19.76685,-70.164818
96730,96730F,2,7/8/2011 2:57,7/9/2011 11:39,1.3625,-19.761021,-70.269409
96730,96730F,3,7/11/2011 23:38,7/12/2011 1:36,0.0819,-19.888519,-70.205902
96730,96730F,4,7/21/2011 2:21,7/22/2011 7:37,1.2191625,-19.73747212,-70.1555881
96730,96730F,5,7/29/2011 0:35,7/29/2011 11:42,0.463073611,-19.73741913,-70.15107727
96730,96730F,6,7/30/2011 16:16,8/2/2011 10:23,2.7554,-19.57683,-70.398621
96730,96730F,7,NA,NA,0.2774,-18.836361,-70.351349
96730,96730F,8,8/5/2011 20:56,8/7/2011 14:18,1.7232,-19.73773,-70.203911
96730,96730F,9,8/10/2011 14:56,8/13/2011 8:04,2.713711111,-20.51325,-70.35498
96730,96730F,10,8/17/2011 22:01,8/18/2011 8:46,0.447395833,-21.8999691,-70.18939972
96730,96730F,11,8/31/2011 22:56,9/1/2011 10:18,0.4733,-20.824829,-70.283569
96730,96730F,12,9/4/2011 22:57,9/5/2011 1:36,0.1103,-21.90645,-70.262558
96730,96730F,13,9/14/2011 2:24,9/15/2011 10:16,1.327379167,-19.75590561,-70.18195582
96730,96730F,14,NA,NA,1.8056,-20.07571,-70.413033
96730,96730F,15,10/10/2011 11:38,10/11/2011 1:51,0.5922,-19.787519,-70.30069
96730,96730F,16,10/14/2011 11:30,10/16/2011 8:56,1.8930125,-19.74402046,-70.15588379
96730,96730F,17,10/27/2011 13:36,10/29/2011 1:36,1.5,-19.743919,-70.155663
96730,96730F,18,10/31/2011 12:56,11/2/2011 12:17,1.9727,-19.90983,-70.216652
96730,96730F,19,11/4/2011 11:36,11/4/2011 13:36,0.0834,-19.732531,-70.17231
96730,96730F,20,11/6/2011 0:57,11/6/2011 14:26,0.5619,-19.70698,-70.263741
